PLAYER_NAME,GAME_DATE,OPPONENT_ABBREVIATION,HOME,PTS,REB,AST,STL,BLK,TOV,PLUS_MINUS
LeBron James,2024-04-14,NOP,0,28,11,17,5,1,4,19
LeBron James,2024-04-12,MEM,0,37,9,5,2,0,8,-3
LeBron James,2024-04-09,GSW,1,33,7,11,2,0,4,-6
LeBron James,2024-04-06,CLE,1,24,5,12,1,1,5,10
LeBron James,2024-04-03,WAS,0,25,7,9,3,0,4,9
LeBron James,2024-04-02,TOR,0,23,4,9,0,0,1,13
LeBron James,2024-03-31,BKN,0,40,7,5,0,0,4,22
LeBron James,2024-03-29,IND,0,16,10,8,0,0,5,-13
LeBron James,2024-03-27,MEM,0,23,14,12,1,0,4,33
LeBron James,2024-03-24,IND,1,26,5,10,1,1,3,12
LeBron James,2024-03-22,PHI,1,20,8,6,0,1,8,7
LeBron James,2024-03-18,ATL,1,25,7,10,0,0,2,20
LeBron James,2024-03-16,GSW,1,40,8,9,1,1,4,-6
LeBron James,2024-03-13,SAC,0,18,13,9,2,0,5,-10
LeBron James,2024-03-10,MIN,1,29,8,9,0,0,4,14
LeBron James,2024-03-06,SAC,1,31,5,13,1,0,3,-3
LeBron James,2024-03-04,OKC,1,19,11,8,1,0,3,14
LeBron James,2024-03-02,DEN,1,26,4,9,3,0,3,-1
LeBron James,2024-02-29,WAS,1,31,4,9,1,1,4,-5
LeBron James,2024-02-28,LAC,0,34,6,8,0,2,3,11
LeBron James,2024-02-25,PHX,0,28,7,12,2,1,3,-8
LeBron James,2024-02-23,SAS,1,30,7,9,1,0,2,21
LeBron James,2024-02-13,DET,1,25,1,8,0,0,4,9
LeBron James,2024-02-09,NOP,1,21,4,14,1,1,2,15
LeBron James,2024-02-08,DEN,1,25,9,7,1,1,2,-6
LeBron James,2024-02-05,CHA,0,26,4,7,1,1,4,2
LeBron James,2024-02-03,NYK,0,24,5,5,2,1,1,11
LeBron James,2024-01-30,ATL,0,20,9,8,1,1,3,-6
LeBron James,2024-01-29,HOU,0,23,6,10,1,1,1,-11
