TEAM_NAME,TEAM_ID,W_PCT,OFF_RATING,DEF_RATING,PACE,EFG_PCT,TM_TOV_PCT,TEAM_ABBREVIATION
Atlanta Hawks,1610612737,0.439,116.4,118.4,100.84,0.539,0.133,ATL
Boston Celtics,1610612738,0.78,122.2,110.6,97.98,0.578,0.121,BOS
Brooklyn Nets,1610612751,0.39,112.4,115.4,97.56,0.531,0.134,BKN
Charlotte Hornets,1610612766,0.256,108.6,119.2,97.81,0.529,0.14,CHA
Chicago Bulls,1610612741,0.476,114.0,115.7,96.94,0.534,0.124,CHI
Cleveland Cavaliers,1610612739,0.585,114.7,112.1,97.62,0.557,0.138,CLE
Dallas Mavericks,1610612742,0.61,117.0,114.9,100.6,0.562,0.124,DAL
Denver Nuggets,1610612743,0.695,117.8,112.3,97.43,0.562,0.13,DEN
Detroit Pistons,1610612765,0.171,109.0,118.0,100.45,0.526,0.151,DET
Golden State Warriors,1610612744,0.561,116.9,114.5,99.91,0.557,0.142,GSW
Houston Rockets,1610612745,0.5,113.7,112.8,99.59,0.529,0.127,HOU
Indiana Pacers,1610612754,0.573,120.5,117.6,102.16,0.578,0.126,IND
LA Clippers,1610612746,0.622,117.9,114.6,97.93,0.561,0.134,LAC
Los Angeles Lakers,1610612747,0.573,115.4,114.8,101.38,0.566,0.137,LAL
Memphis Grizzlies,1610612763,0.329,106.8,113.7,98.68,0.509,0.152,MEM
Miami Heat,1610612748,0.561,113.3,111.5,96.88,0.538,0.13,MIA
Milwaukee Bucks,1610612749,0.598,117.6,115.0,100.51,0.568,0.128,MIL
Minnesota Timberwolves,1610612750,0.683,114.6,108.4,97.79,0.559,0.144,MIN
New Orleans Pelicans,1610612740,0.598,116.5,111.9,98.7,0.558,0.132,NOP
New York Knicks,1610612752,0.61,117.3,112.4,95.96,0.54,0.138,NYK
Oklahoma City Thunder,1610612760,0.695,118.3,111.0,100.85,0.573,0.125,OKC
Orlando Magic,1610612753,0.573,112.9,110.8,97.37,0.541,0.15,ORL
Philadelphia 76ers,1610612755,0.573,116.2,113.0,98.17,0.532,0.122,PHI
Phoenix Suns,1610612756,0.598,116.8,113.7,99.0,0.565,0.15,PHX
Portland Trail Blazers,1610612757,0.256,107.6,116.6,97.88,0.503,0.154,POR
Sacramento Kings,1610612758,0.561,116.2,114.4,99.46,0.556,0.131,SAC
San Antonio Spurs,1610612759,0.268,109.3,115.6,101.8,0.532,0.148,SAS
Toronto Raptors,1610612761,0.305,111.8,118.1,99.91,0.535,0.139,TOR
Utah Jazz,1610612762,0.378,114.5,119.6,100.26,0.539,0.155,UTA
Washington Wizards,1610612764,0.183,110.2,118.9,103.07,0.538,0.136,WAS
